19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:39 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:40 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
19:07:41 | INFO 	 sending MSP_RAW_RC
